matchId,tier,rank
NA1_5329840834,PLATINUM,I
NA1_5329828086,PLATINUM,I
NA1_5329810415,PLATINUM,I
NA1_5329624819,PLATINUM,I
NA1_5329600651,PLATINUM,I
NA1_5329582226,PLATINUM,I
NA1_5329555382,PLATINUM,I
NA1_5329541369,PLATINUM,I
NA1_5327260772,PLATINUM,II
NA1_5327240322,PLATINUM,I
NA1_5351442970,PLATINUM,I
NA1_5351411100,PLATINUM,I
NA1_5351391412,PLATINUM,I
NA1_5348760773,PLATINUM,III
NA1_5348745287,PLATINUM,III
NA1_5348714142,PLATINUM,I
NA1_5347158816,PLATINUM,I
NA1_5347104811,PLATINUM,I
NA1_5347081057,PLATINUM,I
NA1_5346356204,PLATINUM,I
NA1_5346333642,PLATINUM,I
NA1_5345229536,PLATINUM,I
NA1_5343662194,PLATINUM,I
NA1_5343627247,PLATINUM,I
NA1_5343587506,PLATINUM,I
NA1_5342700377,PLATINUM,I
NA1_5342608365,PLATINUM,I
NA1_5342203498,PLATINUM,I
NA1_5342132945,PLATINUM,I
NA1_5342099712,PLATINUM,I
NA1_5342066237,PLATINUM,I
NA1_5338710732,PLATINUM,I
NA1_5338705322,PLATINUM,I
NA1_5338642396,PLATINUM,I
NA1_5338612321,PLATINUM,I
NA1_5338591239,PLATINUM,I
NA1_5338060900,PLATINUM,I
NA1_5338029076,PLATINUM,I
NA1_5336644341,PLATINUM,I
NA1_5336624984,PLATINUM,I
NA1_5336596408,PLATINUM,I
NA1_5331791405,PLATINUM,I
NA1_5331754993,PLATINUM,I
NA1_5331701491,PLATINUM,I
NA1_5331623108,PLATINUM,I
NA1_5331113849,PLATINUM,I
NA1_5331093433,PLATINUM,I
NA1_5331070958,PLATINUM,I
NA1_5331054113,PLATINUM,I
NA1_5331029389,PLATINUM,I
NA1_5330800337,PLATINUM,I
NA1_5330769047,PLATINUM,I
NA1_5330587034,PLATINUM,I
NA1_5330564268,PLATINUM,I
NA1_5330544334,PLATINUM,I
NA1_5330541274,PLATINUM,I
NA1_5330095125,PLATINUM,I
NA1_5330059916,PLATINUM,I
NA1_5330016102,PLATINUM,I
NA1_5329967996,PLATINUM,I
NA1_5329926952,PLATINUM,I
NA1_5329911475,PLATINUM,I
NA1_5327634479,PLATINUM,I
