puuid,rank
4rZNzR0Sxm8ZmcxoBuimt5VzP0EI_0_0L15JWVevDx9IantUofbobpxZmBCLrgG4A_J35pVC-1TEWg,GOLD IV
tMuLVUxvsC92QhvSxZ_vpEerfuyjdVMqLH2H1QHB4zvgnnCuXgZ2VsKwduvYQHW0S7xMEvVmcI9_cA,GOLD III
dzTnFalatcgjHXB7Brd8v1ASVfg0J2tFTHm0RIseFNQRgOFJemu0jwLXYPJ8sSPs756sAgpU731ogg,GOLD IV
FOwvPZs3byFppun5z8TziIhXur-f4aGtcsPznKNZzzq9nX0c_y6Q7Zvx0OaCBl7j8rQQdhL8HvtBHA,GOLD IV
kh8GJwudMguaygnmcfDlfCKCuhFRC12eD02Df_nbiu69FRigOlAB7mzC6wBrCd4gEbArl5RbJyFqKg,GOLD IV
1QobhMpWQU6fhOa-P5LBbFdC9iu7h1RFxNUWev272ePogLj0ngBGQMclM4qaypKvHaFvdCvTPP0Y7g,SILVER I
Gq1diPMswREGbhl1pPJfhHvHY8rt8o1cZtk1VX7rJXlFg5cAlqi1-PVh_rvYcddz7hJlMWWhMpa3KA,SILVER II
sW1gGAuwBNlSYndxGuu-_9m1DzrxvdLFu6NwITEvY7FQwLYNhgUYv_qSzcfRkbysMdZd5Y6ikmBR-w,GOLD IV
q5A83m8w457AxsT1PZzws8NuIi43IecaPHywAhXIrIGBtEtODWVc6tGgJp-oJ-4Hxuaxg7LMrkblzA,SILVER II
Mu590oS2RUtWZpTcqFiPO_cdv6eGGoIEcTnW5Ud-Wm5eJBC2U9GERgu1guuB-jtfPcA2IbyQ67tIHw,GOLD IV
6W_JfDKG0rxbjRj36aYIMsXgH20rQ59Dyf7hxdTAi-dk-SCNiEp9VH-MZPiqUHARTJLGDO8U6_uS3w,GOLD IV
05chRaUfAcs1EGzZDx08mrOxdaGJQ-Vt0mEIh50H4Noyk0vxqWdEh2N6uaosyJCR5NVuUpy7f0FCvA,SILVER II
qwYgths5X7lJpM1RO9dxJfk5FdK0ec1EqHQccm-yidEUFDBuIcSNSj3ARxIGDP_b3vVB_Zd4DGnEaQ,SILVER I
CMp2KM4c1mMkOAlmWTWGzCz8RkRuhWfHe4zFhO858qNCxbjDZHGkrvGtWApDSJHKqH7OrdWHtIIoUQ,SILVER I
OvwHj6QiVCYxVfi-TphgfzHGeXYzNqzAuyhftFgYC9rMaUIn_mIbLYEHlAT4t2vh_LZy46yLiTexzA,SILVER IV
ZnB7TUcOMeoEz7GZ6D-0HSfAKBCwNoTIsce1sQeXRhjm_MBWf7ZrIrTrRWKysabNN0KsuPOvTNWLPw,SILVER II
44vxDk-Tna4QeNiCfUsybk6sa0EZj2iiNjFk7nvzC43FMXvn2W1NKNM8-fbB_E8vf3W85KQlpne7lg,BRONZE I
TO9evgPZHkWEmuhhyTB73x6-GvitIOkjqxcDNd2gZd-LEunzMc_klQtzTyvQumhpiN41Ro4vkQwY2g,SILVER I
HknNBqeD1W7WBLZAqYpQedeTB6azolTesBqch-VI8FyLZcotzmuUwmKmqBqSCoKTNySgtdBfD_HbPw,SILVER IV
N6pdba7d7zsEbr2AnacjAnpiroOpIwAaTbTwPw2Ial6rtdgVPAGCho0vqBkaDJ8214-Z3P6Kee8reg,SILVER III
n0QrSaFV4K4WWWEkrG1TnDqOq19YwRrPcDg3rWYu_G5ypaFS2yv0jhBdjLvAblgfXSVv97UCI61jAw,SILVER II
lGSzTDfbCxlhjHxDTaDZUWOtQQoSS3wI0CdVrZ5yYTCplVeG2hGVGVTekIFAfR6SXnHWVUQE6fryMw,SILVER II
